Year,Country,EV_Sales
2011,Australia,49.0
2012,Australia,170.0
2012,Australia,80.0
2013,Australia,100.0
2013,Australia,190.0
2014,Australia,370.0
2014,Australia,950.0
2015,Australia,1000.0
2015,Australia,760.0
2016,Australia,670.0
2016,Australia,700.0
2017,Australia,1100.0
2017,Australia,1200.0
2018,Australia,1800.0
2018,Australia,1800.0
2019,Australia,2900.0
2019,Australia,6300.0
2020,Australia,5200.0
2020,Australia,1700.0
2021,Australia,3400.0
2021,Australia,17000.0
2021,Australia,44.0
2022,Australia,15.0
2022,Australia,33000.0
2022,Australia,5900.0
2023,Australia,11000.0
2023,Australia,87000.0
2023,Australia,6.0
2013,Austria,650.0
2014,Austria,1700.0
2014,Austria,6.0
2015,Austria,4.0
2015,Austria,1100.0
2015,Austria,1700.0
2016,Austria,3800.0
2016,Austria,1200.0
2017,Austria,2.0
2017,Austria,1700.0
2017,Austria,5400.0
2018,Austria,6800.0
2018,Austria,2300.0
2018,Austria,7.0
2019,Austria,19.0
2019,Austria,9300.0
2019,Austria,2200.0
2020,Austria,7600.0
2020,Austria,16000.0
2020,Austria,14.0
2021,Austria,14.0
2021,Austria,33000.0
2021,Austria,15000.0
2022,Austria,13000.0
2022,Austria,34000.0
2022,Austria,14.0
2023,Austria,9.0
2023,Austria,48000.0
2023,Austria,17000.0
2010,Belgium,7.0
2010,Belgium,48.0
2010,Belgium,8.0
2011,Belgium,1.0
2011,Belgium,16.0
2011,Belgium,280.0
2011,Belgium,25.0
2012,Belgium,260.0
2012,Belgium,570.0
2012,Belgium,340.0
2013,Belgium,60.0
2013,Belgium,500.0
2013,Belgium,110.0
2014,Belgium,99.0
2014,Belgium,1300.0
2014,Belgium,3.0
2014,Belgium,650.0
2014,Belgium,1.0
2015,Belgium,2500.0
2015,Belgium,2.0
2015,Belgium,1400.0
2015,Belgium,68.0
2016,Belgium,140.0
2016,Belgium,2100.0
2016,Belgium,7.0
2016,Belgium,7100.0
2016,Belgium,1.0
2017,Belgium,12000.0
2017,Belgium,11.0
2017,Belgium,2700.0
2017,Belgium,1.0
2017,Belgium,130.0
2017,Belgium,2.0
2018,Belgium,260.0
2018,Belgium,2.0
2018,Belgium,3600.0
2018,Belgium,13.0
2018,Belgium,14.0
2018,Belgium,9600.0
2018,Belgium,1.0
2019,Belgium,8900.0
2019,Belgium,37.0
2019,Belgium,12.0
2019,Belgium,8800.0
2019,Belgium,400.0
2019,Belgium,11.0
2020,Belgium,43.0
2020,Belgium,470.0
2020,Belgium,26.0
2020,Belgium,15000.0
2020,Belgium,4.0
2020,Belgium,12.0
2020,Belgium,32000.0
2020,Belgium,6.0
2021,Belgium,5.0
2021,Belgium,48000.0
2021,Belgium,220.0
2021,Belgium,21.0
2021,Belgium,23000.0
2021,Belgium,39.0
2021,Belgium,640.0
